Entity,Code,Year,Solar (TWh - equivalent)
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.035313889384269714
Africa,,2001,0.043955832719802856
Africa,,2002,0.04904361069202423
Africa,,2003,0.058158885687589645
Africa,,2004,0.07079055160284042
Africa,,2005,0.08413444459438324
Africa,,2006,0.10786166042089462
Africa,,2007,0.14273278415203094
Africa,,2008,0.20416833460330963
Africa,,2009,0.26759833097457886
Africa,,2010,0.5996614098548889
Africa,,2011,1.660955548286438
Africa,,2012,2.7218072414398193
Africa,,2013,2.1463210582733154
Africa,,2014,5.158529281616211
Africa,,2015,8.775347709655762
Africa,,2016,14.41341495513916
Africa,,2017,20.687313079833984
Africa,,2018,26.59893035888672
Africa,,2019,33.988990783691406
Africa,,2020,42.17506408691406
Africa,,2021,43.21503829956055
Africa (BP),,1971,0
Africa (BP),,1972,0
Africa (BP),,1973,0
Africa (BP),,1974,0
Africa (BP),,1975,0
Africa (BP),,1976,0
Africa (BP),,1977,0
Africa (BP),,1978,0
Africa (BP),,1979,0
Africa (BP),,1980,0
Africa (BP),,1981,0
Africa (BP),,1982,0
Africa (BP),,1983,0
Africa (BP),,1984,0
Africa (BP),,1985,0
Africa (BP),,1986,0
Africa (BP),,1987,0
Africa (BP),,1988,0
Africa (BP),,1989,0
Africa (BP),,1990,0
Africa (BP),,1991,0
Africa (BP),,1992,0
Africa (BP),,1993,0
Africa (BP),,1994,0
Africa (BP),,1995,0
Africa (BP),,1996,0
Africa (BP),,1997,0
Africa (BP),,1998,0
Africa (BP),,1999,0
Africa (BP),,2000,0.03530944511294365
Africa (BP),,2001,0.043949443846940994
Africa (BP),,2002,0.049035556614398956
Africa (BP),,2003,0.05817444622516632
Africa (BP),,2004,0.07079333066940308
Africa (BP),,2005,0.08413694053888321
Africa (BP),,2006,0.10787499696016312
Africa (BP),,2007,0.14273639023303986
Africa (BP),,2008,0.20416167378425598
Africa (BP),,2009,0.26760193705558777
Africa (BP),,2010,0.599668562412262
Africa (BP),,2011,1.6609563827514648
Africa (BP),,2012,2.7218072414398193
Africa (BP),,2013,2.1463212966918945
Africa (BP),,2014,5.158528804779053
Africa (BP),,2015,8.775337219238281
Africa (BP),,2016,14.41341495513916
Africa (BP),,2017,20.687313079833984
Africa (BP),,2018,26.59893035888672
Africa (BP),,2019,33.98898696899414
Africa (BP),,2020,42.17506408691406
Africa (BP),,2021,43.21503829956055
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.02524999901652336
Algeria,DZA,2011,0.04998333379626274
Algeria,DZA,2012,0.07327277958393097
Algeria,DZA,2013,0.07794694602489471
Algeria,DZA,2014,0.1625458300113678
Algeria,DZA,2015,0.15619249641895294
Algeria,DZA,2016,0.6558741331100464
Algeria,DZA,2017,1.3412902355194092
Algeria,DZA,2018,1.595373511314392
Algeria,DZA,2019,1.6211230754852295
Algeria,DZA,2020,1.7990080118179321
Algeria,DZA,2021,1.737473487854004
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.000050277776608709246
Argentina,ARG,1999,0.00007694444502703846
Argentina,ARG,2000,0.00010638889216352254
Argentina,ARG,2001,0.00012638888438232243
Argentina,ARG,2002,0.00013722221774514765
Argentina,ARG,2003,0.00018861109856516123
Argentina,ARG,2004,0.00020166665490251034
Argentina,ARG,2005,0.0002319444320164621
Argentina,ARG,2006,0.00025611111777834594
Argentina,ARG,2007,0.00030833331402391195
Argentina,ARG,2008,0.00040277777588926256
Argentina,ARG,2009,0.00021249998826533556
Argentina,ARG,2010,0.00023833333398215473
Argentina,ARG,2011,0.004444444552063942
Argentina,ARG,2012,0.02241666615009308
Argentina,ARG,2013,0.04108305647969246
Argentina,ARG,2014,0.043193887919187546
Argentina,ARG,2015,0.03954083099961281
Argentina,ARG,2016,0.03820944204926491
Argentina,ARG,2017,0.043690275400877
Argentina,ARG,2018,0.28608250617980957
Argentina,ARG,2019,2.1079816818237305
Argentina,ARG,2020,3.530673027038574
Argentina,ARG,2021,5.74507999420166
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.01180555485188961
Asia,,1991,0.01180555485188961
Asia,,1992,0.04582611098885536
Asia,,1993,0.08428221940994263
Asia,,1994,0.10644722729921341
Asia,,1995,0.1464122086763382
Asia,,1996,0.21454471349716187
Asia,,1997,0.3440770208835602
Asia,,1998,0.4947608411312103
Asia,,1999,0.7264373898506165
Asia,,2000,1.1287683248519897
Asia,,2001,1.6285746097564697
Asia,,2002,2.2498879432678223
Asia,,2003,3.0549025535583496
Asia,,2004,4.007902145385742
Asia,,2005,5.063903331756592
Asia,,2006,6.241994380950928
Asia,,2007,7.4403977394104
Asia,,2008,8.967246055603027
Asia,,2009,11.514546394348145
Asia,,2010,16.25839614868164
Asia,,2011,28.537593841552734
Asia,,2012,42.70378112792969
Asia,,2013,79.67568969726562
Asia,,2014,160.74819946289062
Asia,,2015,246.3854522705078
Asia,,2016,370.18267822265625
Asia,,2017,579.5464477539062
Asia,,2018,821.7273559570312
Asia,,2019,1032.6678466796875
Asia,,2020,1228.2401123046875
Asia,,2021,1516.780029296875
