Entity,Code,Year,Solar Capacity
Africa,,1996,1.1124252080917358
Africa,,1997,3.1372756958007812
Africa,,1998,5.162126064300537
Africa,,1999,8.19940185546875
Africa,,2000,10.927000045776367
Africa,,2001,13.028999328613281
Africa,,2002,15.243000030517578
Africa,,2003,18.018999099731445
Africa,,2004,21.996000289916992
Africa,,2005,25.96500015258789
Africa,,2006,34.268001556396484
Africa,,2007,46.656002044677734
Africa,,2008,63.37299728393555
Africa,,2009,106.84500122070312
Africa,,2010,193.8419952392578
Africa,,2011,266.38800048828125
Africa,,2012,345.9539794921875
Africa,,2013,666.9730224609375
Africa,,2014,1573.1199951171875
Africa,,2015,1930.760986328125
Africa,,2016,2988.4169921875
Africa,,2017,4711.06298828125
Africa,,2018,7210.26806640625
Africa,,2019,8415.3193359375
Africa,,2020,9703.859375
Africa,,2021,10302.2607421875
Africa (BP),,1996,1.012425184249878
Africa (BP),,1997,3.037275552749634
Africa (BP),,1998,5.062126159667969
Africa (BP),,1999,8.099401473999023
Africa (BP),,2000,10.927000045776367
Africa (BP),,2001,13.029000282287598
Africa (BP),,2002,15.243000030517578
Africa (BP),,2003,18.018999099731445
Africa (BP),,2004,21.996000289916992
Africa (BP),,2005,25.96500015258789
Africa (BP),,2006,34.268001556396484
Africa (BP),,2007,46.65599822998047
Africa (BP),,2008,63.37300109863281
Africa (BP),,2009,106.84500122070312
Africa (BP),,2010,193.8419952392578
Africa (BP),,2011,266.38800048828125
Africa (BP),,2012,345.9540100097656
Africa (BP),,2013,666.9730224609375
Africa (BP),,2014,1573.1199951171875
Africa (BP),,2015,1930.760986328125
Africa (BP),,2016,2988.4169921875
Africa (BP),,2017,4711.06298828125
Africa (BP),,2018,7210.26806640625
Africa (BP),,2019,8415.3193359375
Africa (BP),,2020,9703.859375
Africa (BP),,2021,10302.259765625
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,1.100000023841858
Algeria,DZA,2015,49.099998474121094
Algeria,DZA,2016,219.10000610351562
Algeria,DZA,2017,400
Algeria,DZA,2018,423
Algeria,DZA,2019,423
Algeria,DZA,2020,423
Algeria,DZA,2021,423
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.02500000037252903
Argentina,ARG,2001,0.026000000536441803
Argentina,ARG,2002,0.026000000536441803
Argentina,ARG,2003,0.026000000536441803
Argentina,ARG,2004,0.026000000536441803
Argentina,ARG,2005,0.026000000536441803
Argentina,ARG,2006,0.026000000536441803
Argentina,ARG,2007,0.026000000536441803
Argentina,ARG,2008,0.026000000536441803
Argentina,ARG,2009,0.026000000536441803
Argentina,ARG,2010,0.026000000536441803
Argentina,ARG,2011,1.2519999742507935
Argentina,ARG,2012,6.251999855041504
Argentina,ARG,2013,8.256999969482422
Argentina,ARG,2014,8.251999855041504
Argentina,ARG,2015,8.618000030517578
Argentina,ARG,2016,8.805999755859375
Argentina,ARG,2017,8.805999755859375
Argentina,ARG,2018,191.23599243164062
Argentina,ARG,2019,442.1109924316406
Argentina,ARG,2020,764.135009765625
Argentina,ARG,2021,1071.365966796875
Asia,,1996,61
Asia,,1997,93.80000305175781
Asia,,1998,139.3000030517578
Asia,,1999,221.39999389648438
Asia,,2000,371.1199951171875
Asia,,2001,506.2300109863281
Asia,,2002,712.1510009765625
Asia,,2003,950.8200073242188
Asia,,2004,1241.0059814453125
Asia,,2005,1610.634033203125
Asia,,2006,1972.4849853515625
Asia,,2007,2298.97607421875
Asia,,2008,2878.010986328125
Asia,,2009,3764.5859375
Asia,,2010,5629.26416015625
Asia,,2011,9884.0498046875
Asia,,2012,16545.689453125
Asia,,2013,36577.15234375
Asia,,2014,61170.58203125
Asia,,2015,91588.6171875
Asia,,2016,142653.515625
Asia,,2017,217310.875
Asia,,2018,284532.4375
Asia,,2019,344220.15625
Asia,,2020,423603.5625
Asia,,2021,501576.28125
Asia Pacific (BP),,1996,77
Asia Pacific (BP),,1997,112.5
Asia Pacific (BP),,1998,162
Asia Pacific (BP),,1999,246
Asia Pacific (BP),,2000,395.6549987792969
Asia Pacific (BP),,2001,534.5599975585938
Asia Pacific (BP),,2002,745.1810302734375
Asia Pacific (BP),,2003,988.4500122070312
Asia Pacific (BP),,2004,1285.10595703125
Asia Pacific (BP),,2005,1659.1710205078125
Asia Pacific (BP),,2006,2029.1639404296875
Asia Pacific (BP),,2007,2363.006103515625
Asia Pacific (BP),,2008,2951.403076171875
Asia Pacific (BP),,2009,4052.47509765625
Asia Pacific (BP),,2010,6625.173828125
Asia Pacific (BP),,2011,12136.7724609375
Asia Pacific (BP),,2012,20023.83203125
Asia Pacific (BP),,2013,40644.078125
Asia Pacific (BP),,2014,65618.234375
Asia Pacific (BP),,2015,96157.1640625
Asia Pacific (BP),,2016,146799.78125
Asia Pacific (BP),,2017,218844.46875
Asia Pacific (BP),,2018,284156.84375
Asia Pacific (BP),,2019,344116.625
Asia Pacific (BP),,2020,425327.15625
Asia Pacific (BP),,2021,501615.3125
Australia,AUS,1996,16
Australia,AUS,1997,19
Australia,AUS,1998,23
Australia,AUS,1999,25
Australia,AUS,2000,25
Australia,AUS,2001,29
Australia,AUS,2002,34
Australia,AUS,2003,39
Australia,AUS,2004,46
Australia,AUS,2005,52
Australia,AUS,2006,61
Australia,AUS,2007,70
Australia,AUS,2008,82
Australia,AUS,2009,329
Australia,AUS,2010,1088
Australia,AUS,2011,2470
Australia,AUS,2012,3796
Australia,AUS,2013,4565
Australia,AUS,2014,5284
Australia,AUS,2015,5943
Australia,AUS,2016,6686
Australia,AUS,2017,7352
Australia,AUS,2018,8623
Australia,AUS,2019,12967
Australia,AUS,2020,17342
Australia,AUS,2021,19074
Austria,AUT,1996,1.7000000476837158
Austria,AUT,1997,2.200000047683716
Austria,AUT,1998,2.9000000953674316
Austria,AUT,1999,3.700000047683716
Austria,AUT,2000,5
Austria,AUT,2001,7
Austria,AUT,2002,9
Austria,AUT,2003,23
Austria,AUT,2004,27
Austria,AUT,2005,21.01799964904785
Austria,AUT,2006,22.386999130249023
Austria,AUT,2007,24.238000869750977
Austria,AUT,2008,30.1200008392334
Austria,AUT,2009,48.915000915527344
Austria,AUT,2010,88.81300354003906
Austria,AUT,2011,174.07000732421875
Austria,AUT,2012,337.4830017089844
Austria,AUT,2013,625.9739990234375
Austria,AUT,2014,785.2459716796875
Austria,AUT,2015,937.0980224609375
Austria,AUT,2016,1096.0159912109375
Austria,AUT,2017,1268.970947265625
Austria,AUT,2018,1455.1319580078125
Austria,AUT,2019,1702.093017578125
Austria,AUT,2020,2042.9339599609375
Austria,AUT,2021,2691.93408203125
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,1
Belgium,BEL,2003,1
Belgium,BEL,2004,1
Belgium,BEL,2005,2
Belgium,BEL,2006,2
Belgium,BEL,2007,20
Belgium,BEL,2008,62
Belgium,BEL,2009,386
Belgium,BEL,2010,1006.5999755859375
Belgium,BEL,2011,1978.5999755859375
Belgium,BEL,2012,2646.60009765625
Belgium,BEL,2013,2901.60009765625
Belgium,BEL,2014,3015
Belgium,BEL,2015,3131.60009765625
Belgium,BEL,2016,3328.800048828125
Belgium,BEL,2017,3620.60009765625
Belgium,BEL,2018,4000
Belgium,BEL,2019,4636.60009765625
Belgium,BEL,2020,5574.7998046875
Belgium,BEL,2021,6584.60009765625
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0.035999998450279236
Brazil,BRA,2002,0.035999998450279236
Brazil,BRA,2003,0.7160000205039978
Brazil,BRA,2004,0.7179999947547913
Brazil,BRA,2005,0.7179999947547913
Brazil,BRA,2006,0.7179999947547913
Brazil,BRA,2007,0.7179999947547913
Brazil,BRA,2008,0.7639999985694885
Brazil,BRA,2009,0.8140000104904175
Brazil,BRA,2010,0.8539999723434448
Brazil,BRA,2011,6.0970001220703125
Brazil,BRA,2012,6.607999801635742
Brazil,BRA,2013,12.527999877929688
Brazil,BRA,2014,20.69700050354004
Brazil,BRA,2015,45.56700134277344
Brazil,BRA,2016,127.78900146484375
Brazil,BRA,2017,1206.7869873046875
Brazil,BRA,2018,2435.02197265625
Brazil,BRA,2019,4613.19091796875
Brazil,BRA,2020,7879.1572265625
Brazil,BRA,2021,13054.92578125
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0.029999999329447746
Bulgaria,BGR,2008,0.10000000149011612
Bulgaria,BGR,2009,2
Bulgaria,BGR,2010,25
Bulgaria,BGR,2011,154
Bulgaria,BGR,2012,1013
Bulgaria,BGR,2013,1020
Bulgaria,BGR,2014,1026
Bulgaria,BGR,2015,1029
Bulgaria,BGR,2016,1028
Bulgaria,BGR,2017,1035.5699462890625
Bulgaria,BGR,2018,1032.678955078125
Bulgaria,BGR,2019,1047.949951171875
Bulgaria,BGR,2020,1097.3570556640625
Bulgaria,BGR,2021,1186.3570556640625
CIS (BP),,1996,0
CIS (BP),,1997,0
CIS (BP),,1998,0
CIS (BP),,1999,0
CIS (BP),,2000,0
CIS (BP),,2001,0
CIS (BP),,2002,0
CIS (BP),,2003,0
CIS (BP),,2004,0
CIS (BP),,2005,0.06300000101327896
CIS (BP),,2006,0.07900000363588333
CIS (BP),,2007,0.6970000267028809
CIS (BP),,2008,0.48500001430511475
CIS (BP),,2009,0.2980000078678131
CIS (BP),,2010,1.5770000219345093
CIS (BP),,2011,2.0179998874664307
CIS (BP),,2012,3.5290000438690186
CIS (BP),,2013,19.020999908447266
CIS (BP),,2014,88.82499694824219
CIS (BP),,2015,216.822998046875
CIS (BP),,2016,307.53900146484375
CIS (BP),,2017,512.3759765625
CIS (BP),,2018,1217.780029296875
CIS (BP),,2019,2618.919921875
CIS (BP),,2020,3348.320068359375
CIS (BP),,2021,4911.38623046875
Canada,CAN,1996,3
Canada,CAN,1997,3
Canada,CAN,1998,5
Canada,CAN,1999,6
Canada,CAN,2000,7
Canada,CAN,2001,9
Canada,CAN,2002,10
Canada,CAN,2003,12
Canada,CAN,2004,14
Canada,CAN,2005,18
Canada,CAN,2006,22
Canada,CAN,2007,29
Canada,CAN,2008,38
Canada,CAN,2009,107
Canada,CAN,2010,249
Canada,CAN,2011,628
Canada,CAN,2012,766
Canada,CAN,2013,1210
Canada,CAN,2014,1843
Canada,CAN,2015,2519
Canada,CAN,2016,2665
Canada,CAN,2017,2932
Canada,CAN,2018,3095
Canada,CAN,2019,3327
Canada,CAN,2020,3342
Canada,CAN,2021,3629.60009765625
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
